merchant_id,industry,tier,region,plan,tenure_months,avg_monthly_txn,avg_ticket_size,monthly_revenue,days_since_last_txn,revenue_trend_pct,support_tickets_90d,avg_resolution_hours,satisfaction_score,failed_payments_90d,account_manager_calls_90d,features_adopted,integration_active,churned
M100043,Food & Beverage,Small,West,Premium,45,33,68.66,2265.78,17,-1.8,0,6.1,9.8,0,1,4,0,0
M100044,eCommerce,Medium,East,Plus,10,156,51.16,7980.96,18,15.0,4,31.5,6.7,0,0,3,1,0
M100045,eCommerce,Enterprise,North,Standard,2,954,78.61,74993.94,24,-3.4,1,3.5,8.5,1,0,2,1,1
M100046,Food & Beverage,Small,East,Plus,44,25,61.12,1528.0,14,7.3,3,19.0,5.2,0,1,4,1,0
M100047,Food & Beverage,Medium,West,Standard,29,210,36.480000000000004,7660.8,8,16.6,1,6.3,5.2,1,3,8,1,0
M100048,eCommerce,Enterprise,North,Standard,19,1498,87.0,130326.0,22,41.6,2,5.6,5.5,2,1,2,1,0
M100049,Retail,Small,West,Standard,53,30,38.92,1167.6,27,12.9,1,8.5,5.8,2,1,8,0,1
M100050,Retail,Enterprise,North,Premium,20,1163,100.28,116625.64,27,7.8,2,9.8,7.5,1,0,3,1,0
M100051,Retail,Small,West,Plus,26,37,38.24,1414.88,27,47.8,2,15.5,4.9,3,0,1,0,0
M100052,eCommerce,Medium,West,Standard,43,318,23.76,7555.68,20,-40.0,2,23.8,6.8,1,1,6,1,1
M100053,Services,Medium,North,Standard,57,178,110.09,19596.02,3,1.0,1,9.8,6.6,1,0,4,1,1
M100054,eCommerce,Medium,East,Plus,54,180,37.52,6753.6,60,-13.3,2,4.0,6.5,0,0,6,1,1
M100055,eCommerce,Small,North,Premium,39,30,39.01,1170.3,26,-2.2,2,7.2,8.7,1,3,8,1,0
M100056,Food & Beverage,Medium,East,Standard,7,148,24.35,3603.8,12,16.3,1,9.7,5.6,1,1,2,1,0
M100057,Services,Small,West,Standard,7,48,48.87,2345.76,29,24.6,2,9.1,9.4,1,2,5,0,0
M100058,Retail,Small,North,Premium,41,38,26.11,992.18,6,-8.4,1,16.7,8.1,1,4,3,1,0
M100059,Retail,Small,North,Premium,31,41,106.61,4371.01,24,17.7,2,15.1,5.3,1,0,4,1,1
M100060,Services,Medium,South,Premium,8,344,42.3,14551.2,13,-16.7,2,19.8,8.5,2,1,3,1,0
M100061,Food & Beverage,Small,South,Standard,42,64,30.92,1978.88,6,-25.2,3,4.4,5.6,1,1,2,0,1
M100062,Services,Small,North,Standard,56,22,53.61,1179.42,6,4.6,1,21.3,8.6,1,1,5,1,0
M100063,eCommerce,Enterprise,South,Standard,4,1505,156.9,236134.5,21,-1.8,2,4.2,7.9,0,3,4,1,0
M100064,Services,Small,South,Standard,49,43,54.95,2362.85,23,35.8,3,18.2,4.2,0,0,7,1,0
M100065,Services,Small,North,Premium,21,34,45.57,1549.38,7,49.8,2,26.1,4.2,1,1,4,0,0
M100066,Services,Small,South,Standard,24,45,52.91,2380.95,13,-10.4,3,4.3,6.7,0,2,5,1,0
M100067,Food & Beverage,Small,North,Plus,43,22,80.76,1776.72,20,-36.9,2,11.3,8.4,0,0,6,0,1
M100068,Retail,Medium,West,Premium,15,367,76.82,28192.94,10,-27.1,2,9.1,6.9,0,1,1,1,1
M100069,Food & Beverage,Small,West,Premium,10,48,60.12,2885.76,53,-15.4,2,5.2,7.0,3,0,4,1,1
M100070,Retail,Small,South,Plus,57,30,88.93,2667.9,22,7.6,3,4.3,7.4,0,1,5,1,1
M100071,Food & Beverage,Enterprise,West,Premium,21,978,54.55,53349.9,14,-2.7,3,24.0,3.2,0,2,6,1,0
M100072,Travel,Medium,South,Standard,11,121,47.69,5770.49,32,-24.7,2,5.4,8.6,2,1,1,1,1
M100073,Retail,Medium,West,Standard,41,197,53.9,10618.3,23,42.3,1,51.3,7.2,0,3,1,1,0
M100074,Retail,Medium,North,Standard,13,186,38.38,7138.68,20,17.6,1,4.5,8.6,0,1,7,0,0
M100075,Food & Beverage,Enterprise,South,Premium,46,755,81.69,61675.95,22,41.7,0,3.5,6.7,2,0,7,1,0
M100076,Food & Beverage,Small,East,Premium,5,52,37.35,1942.2,27,-36.6,0,0.3,6.2,2,1,4,1,1
M100077,Services,Medium,North,Standard,31,344,15.91,5473.04,9,31.0,1,4.2,5.7,0,2,1,1,1
M100078,Services,Medium,West,Standard,24,218,21.65,4719.7,2,-0.3,0,4.2,5.6,0,3,3,1,1
M100079,eCommerce,Small,South,Standard,57,36,63.44,2283.84,34,-5.6,0,9.2,10.0,1,0,6,0,1
M100080,Services,Small,South,Standard,31,47,33.980000000000004,1597.06,17,3.5,1,15.8,6.7,3,0,6,0,0
M100081,Food & Beverage,Small,South,Premium,55,40,77.8,3112.0,11,-12.4,1,7.0,8.7,0,0,7,1,1
M100082,eCommerce,Medium,West,Standard,15,151,51.43,7765.93,8,-0.1,0,14.5,8.2,1,2,5,0,0
M100083,Retail,Medium,North,Plus,28,175,81.36,14238.0,7,23.8,2,31.8,6.2,0,1,7,0,0
M100084,Retail,Medium,West,Plus,49,198,16.740000000000002,3314.52,18,-40.2,2,10.0,5.6,0,1,2,1,1
M100085,Retail,Small,West,Standard,10,44,37.19,1636.36,15,35.9,1,7.3,8.1,0,2,2,1,0
M100086,eCommerce,Small,West,Standard,55,40,30.35,1214.0,33,11.6,2,5.9,5.6,1,1,3,1,1
M100087,Food & Beverage,Small,West,Premium,46,43,173.83,7474.69,24,0.6,1,10.6,8.0,2,0,7,0,1
M100088,Retail,Small,West,Plus,40,23,40.71,936.33,27,23.6,4,31.2,4.4,0,0,8,1,0
M100089,Services,Enterprise,East,Standard,15,1515,21.47,32527.05,31,11.0,0,9.0,6.5,0,2,1,0,0
M100090,Retail,Enterprise,South,Standard,49,1201,62.8,75422.8,19,-7.6,4,19.7,5.9,0,1,2,0,0
M100091,eCommerce,Enterprise,South,Premium,50,2932,28.9,84734.8,43,-14.0,4,14.3,9.1,1,2,1,0,0
M100092,Food & Beverage,Medium,West,Plus,18,192,85.94,16500.48,9,36.0,3,12.4,3.1,0,0,7,1,0
M100093,Food & Beverage,Enterprise,South,Plus,35,1344,93.73,125973.12,31,-29.5,3,48.1,8.9,0,1,7,1,0
M100094,Food & Beverage,Small,East,Plus,4,108,30.52,3296.16,2,-1.3,1,13.7,5.6,0,1,8,0,0
M100095,Services,Small,North,Premium,24,43,34.54,1485.22,3,-28.0,3,22.1,6.3,1,0,2,1,1
M100096,Food & Beverage,Small,South,Standard,9,39,59.65,2326.35,6,13.7,2,16.3,7.4,1,1,5,0,0
M100097,Retail,Small,South,Plus,33,28,87.31,2444.68,15,0.9,4,14.0,7.4,1,0,4,1,1
M100098,Retail,Small,South,Standard,33,68,63.41,4311.88,2,-24.5,2,8.0,8.5,0,1,8,0,0
M100099,Health,Small,East,Plus,32,27,40.75,1100.25,14,-16.1,1,27.2,7.2,0,1,8,0,0
M100100,Travel,Enterprise,East,Premium,40,1393,23.84,33209.12,11,4.0,3,5.1,10.0,0,0,7,1,0
M100101,eCommerce,Small,South,Premium,55,34,122.33,4159.22,56,9.3,1,6.1,8.5,1,0,2,0,0
M100102,Retail,Enterprise,North,Plus,12,1123,64.25,72152.75,4,-39.6,0,5.0,7.2,2,0,3,0,0
M100103,Health,Medium,East,Plus,13,134,136.48,18288.32,17,-12.5,2,21.9,5.6,0,2,7,1,0
M100104,eCommerce,Medium,North,Premium,13,352,69.27,24383.04,23,6.5,4,31.6,5.1,1,3,5,1,0
M100105,eCommerce,Medium,West,Premium,55,200,126.79,25358.0,41,29.6,2,4.8,9.4,0,3,5,1,0
M100106,Food & Beverage,Small,West,Plus,6,26,32.79,852.54,26,21.5,3,11.7,9.8,1,1,1,1,0
M100107,Retail,Medium,North,Standard,2,341,34.17,11651.97,34,-7.0,4,23.8,8.0,1,2,4,0,1
M100108,Retail,Small,South,Standard,10,34,46.67,1586.78,19,25.0,2,7.7,2.2,1,2,8,1,1
M100109,Travel,Enterprise,North,Premium,46,1349,31.33,42264.17,8,-3.9,3,18.4,3.1,1,1,4,1,0
M100110,Food & Beverage,Small,South,Plus,35,54,19.6,1058.4,4,-60.0,5,13.8,6.9,0,2,8,1,0
M100111,Retail,Small,North,Plus,55,47,36.19,1700.93,28,34.7,3,40.8,5.3,1,1,4,1,1
M100112,Food & Beverage,Medium,West,Plus,13,102,68.74000000000001,7011.48,11,13.1,3,9.3,7.2,0,0,7,1,1
M100113,Services,Medium,North,Standard,24,281,25.48,7159.88,2,7.1,0,16.6,8.8,0,0,7,1,0
M100114,Retail,Small,East,Standard,33,39,27.11,1057.29,12,3.2,3,10.1,9.0,2,3,5,1,0
M100115,Travel,Medium,East,Plus,5,196,37.5,7350.0,15,9.7,1,11.9,7.3,0,0,7,1,0
M100116,eCommerce,Small,North,Standard,55,39,29.39,1146.21,38,3.2,3,6.3,4.8,0,0,1,1,1
M100117,eCommerce,Medium,West,Plus,48,125,38.7,4837.5,13,-3.4,5,20.9,4.6,1,0,3,1,0
M100118,Food & Beverage,Small,North,Plus,9,43,48.61,2090.23,15,-11.4,2,24.0,6.5,0,3,1,1,0
M100119,Services,Small,West,Premium,50,25,26.47,661.75,16,4.7,3,5.9,8.0,0,1,6,1,0
M100120,Services,Small,East,Standard,27,36,37.98,1367.28,31,-16.4,1,5.9,5.4,0,1,3,1,0
M100121,Services,Small,East,Plus,20,42,51.04,2143.68,8,-22.1,3,23.7,7.5,1,0,5,1,0
M100122,Retail,Small,West,Standard,56,58,32.04,1858.32,21,8.9,0,7.0,4.4,2,0,7,0,1
M100123,Food & Beverage,Small,South,Standard,31,30,23.84,715.2,10,24.6,1,9.8,2.8,1,0,6,1,0
M100124,Retail,Small,South,Standard,14,66,33.379999999999995,2203.08,37,-14.5,3,6.9,5.9,0,0,6,1,1
M100125,Food & Beverage,Small,North,Standard,48,56,42.04,2354.24,43,-10.7,0,22.0,8.7,1,4,1,1,1
M100126,Food & Beverage,Small,West,Premium,43,34,19.02,646.68,17,-34.3,4,7.5,9.7,0,1,5,1,0
M100127,Retail,Small,South,Premium,12,27,69.31,1871.37,20,-26.0,1,9.8,4.6,0,1,3,1,0
M100128,Retail,Medium,West,Standard,40,133,43.3,5758.9,13,-25.1,0,5.6,4.9,1,1,8,0,1
M100129,Services,Enterprise,South,Premium,38,1320,33.480000000000004,44193.6,3,24.4,1,18.3,7.9,1,0,3,1,0
M100130,Retail,Small,West,Plus,17,31,20.73,642.63,16,-35.2,0,45.0,4.6,2,0,6,0,0
M100131,Travel,Enterprise,West,Plus,26,1826,64.58,117923.08,15,13.1,1,2.9,9.6,1,1,5,1,0
M100132,Services,Small,South,Premium,50,32,94.24,3015.68,12,-2.8,3,8.9,8.3,0,3,3,1,0
M100133,Food & Beverage,Small,South,Plus,11,29,37.03,1073.87,13,16.3,2,9.3,8.6,1,2,2,1,1
M100134,Services,Medium,West,Standard,43,239,129.98000000000002,31065.22,21,28.7,1,3.8,6.1,2,0,3,0,0
M100135,Retail,Medium,North,Standard,50,173,49.73,8603.29,20,2.3,2,11.8,7.7,1,3,5,1,1
M100136,Health,Medium,North,Standard,56,221,50.74,11213.54,13,27.9,1,19.4,9.9,0,1,8,1,0
M100137,Food & Beverage,Small,South,Premium,20,56,79.79,4468.24,40,37.1,3,15.2,7.1,0,1,8,0,1
M100138,eCommerce,Medium,East,Plus,16,229,66.41,15207.89,2,32.6,0,15.2,6.8,3,1,3,1,1
M100139,Retail,Small,North,Standard,56,42,25.38,1065.96,9,-11.8,1,6.2,6.6,2,0,1,1,1
M100140,Food & Beverage,Small,South,Standard,28,43,36.260000000000005,1559.18,28,-40.3,2,17.7,4.2,2,1,2,0,1
M100141,Food & Beverage,Small,West,Premium,34,22,87.17,1917.74,3,0.3,2,13.7,5.2,2,0,5,1,1
M100142,Health,Enterprise,North,Standard,31,1376,67.13,92370.88,2,6.9,2,5.5,5.9,0,3,4,1,0
M100143,Services,Small,North,Plus,31,42,130.63,5486.46,9,-40.0,3,13.4,4.3,0,0,2,1,1
M100144,Food & Beverage,Medium,South,Plus,37,301,61.63,18550.63,15,4.3,3,9.2,4.7,1,0,2,1,0
M100145,Retail,Medium,North,Standard,25,272,68.37,18596.64,11,-53.6,2,62.1,1.0,0,0,5,0,1
M100146,Food & Beverage,Medium,North,Standard,24,205,33.32,6830.6,18,37.0,0,19.1,5.4,1,2,3,1,0
M100147,Services,Medium,North,Standard,24,316,93.45,29530.2,2,13.5,1,11.9,8.1,0,2,2,1,0
M100148,Food & Beverage,Medium,North,Standard,39,199,13.31,2648.69,8,-15.0,1,25.8,5.8,3,0,4,1,1
M100149,Retail,Small,West,Plus,49,44,55.59,2445.96,25,5.8,5,21.6,6.0,0,1,8,1,1
M100150,eCommerce,Small,North,Plus,33,36,69.48,2501.28,21,8.5,1,4.3,8.6,2,1,7,1,1
M100151,Travel,Medium,East,Standard,40,259,59.43,15392.37,9,13.6,0,29.9,8.8,0,1,3,0,1
M100152,Retail,Small,East,Plus,25,35,49.96,1748.6,17,4.5,5,8.4,10.0,1,1,7,0,0
M100153,Services,Small,East,Standard,46,71,46.93,3332.03,15,23.8,0,27.3,6.5,1,1,8,1,0
M100154,Retail,Small,East,Standard,24,81,51.09,4138.29,15,-24.9,3,15.1,6.4,0,4,3,0,1
M100155,Services,Small,South,Plus,25,54,27.63,1492.02,19,0.2,4,14.2,6.2,0,1,1,0,1
M100156,Food & Beverage,Small,West,Plus,4,69,59.27,4089.63,45,42.3,5,10.8,8.0,2,1,2,1,0
M100157,Services,Small,North,Plus,16,23,33.53,771.19,46,-4.7,2,14.4,6.6,1,2,7,1,1
M100158,eCommerce,Enterprise,North,Standard,44,730,37.05,27046.5,3,8.3,3,18.5,6.4,0,0,1,0,0
M100159,eCommerce,Small,West,Plus,6,36,25.9,932.4,13,-18.9,0,14.0,6.8,1,0,3,1,1
M100160,Retail,Enterprise,North,Standard,14,1217,194.87,237156.79,5,50.5,1,12.6,5.5,1,0,8,1,0
M100161,Travel,Enterprise,North,Premium,46,1120,57.03,63873.6,20,9.3,1,9.6,3.4,1,1,2,1,0
M100162,Retail,Small,North,Plus,52,23,22.95,527.85,13,-24.7,1,17.4,5.7,0,3,4,0,1
M100163,Retail,Medium,North,Premium,25,329,53.85,17716.65,31,27.0,1,8.0,9.5,0,2,8,1,0
M100164,Services,Medium,North,Standard,25,468,92.89,43472.52,15,-20.6,3,12.6,9.2,0,1,7,1,0
M100165,Food & Beverage,Medium,East,Standard,31,344,58.91,20265.04,41,18.0,2,15.6,8.3,1,0,3,0,1
M100166,eCommerce,Small,East,Plus,46,58,49.24,2855.92,47,25.7,2,12.1,6.2,0,0,2,0,1
M100167,eCommerce,Small,North,Standard,28,43,32.010000000000005,1376.43,40,47.6,2,4.9,6.1,1,0,5,1,0
M100168,Food & Beverage,Small,West,Plus,11,30,58.96,1768.8,1,7.9,2,13.9,9.5,0,1,3,0,0
M100169,Health,Medium,North,Plus,26,226,75.35,17029.1,19,4.1,0,11.5,5.3,0,3,6,0,1
M100170,Food & Beverage,Enterprise,East,Premium,16,2507,75.79,190005.53,12,-41.6,3,14.3,6.9,1,1,6,1,1
M100171,Services,Medium,West,Standard,41,194,55.99,10862.06,13,-7.0,0,8.5,9.9,0,1,4,1,0
M100172,Retail,Medium,East,Premium,9,188,55.89,10507.32,28,-12.7,2,9.7,7.3,0,0,4,1,0
M100173,Health,Enterprise,South,Standard,36,1768,101.18,178886.24,12,-1.0,3,13.5,6.5,0,1,1,1,0
M100174,Retail,Medium,North,Standard,8,332,95.49,31702.68,16,-8.4,1,6.1,9.2,0,0,6,1,1
M100175,Retail,Small,North,Plus,58,30,45.48,1364.4,17,20.3,1,27.0,6.4,0,0,8,1,0
M100176,Food & Beverage,Medium,West,Standard,38,201,124.55,25034.55,2,-9.3,3,17.0,7.1,1,0,8,1,0
M100177,Health,Small,South,Premium,9,34,23.18,788.12,11,13.5,1,13.6,9.3,0,0,6,1,0
M100178,Travel,Small,North,Premium,57,41,57.35,2351.35,33,0.5,2,23.7,2.3,1,0,6,1,0
M100179,eCommerce,Small,East,Premium,34,59,60.5,3569.5,2,-10.7,1,5.5,7.9,0,2,8,1,0
M100180,Travel,Enterprise,East,Premium,36,906,30.97,28058.82,23,-12.7,3,10.0,5.9,1,0,2,1,1
M100181,Travel,Small,North,Plus,4,59,20.490000000000002,1208.91,7,8.1,2,8.3,6.9,1,3,7,1,0
M100182,Services,Small,North,Standard,12,41,31.36,1285.76,11,33.2,1,14.0,7.1,1,0,1,1,0
M100183,Food & Beverage,Small,North,Premium,48,90,83.51,7515.9,26,-13.1,3,7.8,6.1,1,0,7,1,0
M100184,eCommerce,Small,North,Standard,28,45,84.83,3817.35,6,4.0,1,18.4,7.0,1,1,2,1,0
M100185,Services,Small,East,Premium,37,39,73.15,2852.85,12,13.6,0,12.5,7.6,1,1,5,0,0
M100186,Food & Beverage,Medium,North,Standard,59,269,33.86,9108.34,3,2.6,1,6.8,7.6,0,0,1,0,0
M100187,Retail,Medium,East,Plus,26,196,85.4,16738.4,21,-35.7,2,5.2,7.5,0,2,1,0,1
M100188,eCommerce,Small,North,Standard,23,21,35.18,738.78,8,13.5,1,13.5,6.7,2,0,6,0,0
M100189,Retail,Small,West,Standard,48,37,59.25,2192.25,4,-30.1,2,4.2,7.2,1,1,8,1,1
M100190,Health,Small,East,Standard,4,37,50.92,1884.04,15,-29.8,1,6.4,7.4,0,1,1,1,0
M100191,Retail,Small,South,Standard,27,23,41.09,945.07,3,-25.7,2,11.2,5.5,1,0,7,1,1
M100192,Retail,Medium,South,Standard,51,214,71.21,15238.94,11,-0.6,1,9.5,9.2,1,3,7,1,0
M100193,eCommerce,Medium,North,Standard,14,107,78.9,8442.3,7,-18.2,0,5.8,7.2,1,0,6,1,1
M100194,Retail,Medium,North,Standard,18,195,32.730000000000004,6382.35,18,-28.6,3,20.1,5.9,0,1,3,1,1
M100195,Retail,Small,East,Plus,28,44,52.58,2313.52,18,11.4,1,5.8,7.9,1,0,8,1,1
M100196,Services,Medium,North,Standard,5,228,76.7,17487.6,9,2.4,3,9.3,7.0,0,0,5,1,1
M100197,Travel,Small,East,Premium,5,35,10.379999999999999,363.3,40,19.7,1,11.8,9.0,1,0,2,1,1
M100198,Retail,Small,South,Standard,15,39,63.55,2478.45,32,-13.0,1,11.8,8.4,2,1,8,0,1
M100199,Food & Beverage,Enterprise,North,Plus,53,912,77.56,70734.72,6,1.6,1,4.5,7.5,1,0,3,1,1
M100200,eCommerce,Medium,East,Standard,14,221,65.1,14387.1,64,20.6,2,12.6,8.5,0,1,4,1,1
M100201,Health,Enterprise,East,Plus,44,1225,66.78999999999999,81817.75,25,-25.9,0,6.3,7.7,0,1,2,0,0
M100202,Services,Enterprise,East,Plus,26,876,48.92,42853.92,20,-11.6,0,5.9,5.5,1,0,4,0,0
M100203,Retail,Medium,North,Plus,45,242,74.72,18082.24,20,24.8,1,13.2,8.4,0,4,6,1,1
M100204,Retail,Enterprise,East,Standard,20,1315,24.98,32848.7,5,3.4,1,5.3,4.3,3,2,8,1,0
M100205,Retail,Small,West,Plus,52,38,31.45,1195.1,35,-0.3,1,9.1,1.5,2,2,4,1,1
M100206,Retail,Small,South,Standard,22,93,66.17,6153.81,2,2.2,1,10.4,8.2,0,1,5,1,1
M100207,Services,Small,West,Standard,47,38,74.85,2844.3,20,29.9,4,17.0,7.5,0,1,1,0,1
M100208,Retail,Small,East,Standard,50,36,93.21,3355.56,32,2.5,1,6.6,7.9,2,1,2,1,0
M100209,Services,Small,South,Plus,26,35,114.63,4012.05,7,4.0,3,17.7,8.9,0,1,5,1,0
M100210,eCommerce,Small,West,Standard,40,28,34.120000000000005,955.36,27,2.6,5,22.9,6.4,2,0,1,1,1
M100211,Services,Medium,West,Plus,7,280,27.35,7658.0,17,-32.6,1,17.9,6.1,0,2,3,1,0
M100212,Retail,Medium,North,Standard,30,173,82.48,14269.04,28,14.1,3,6.7,8.5,1,2,1,0,1
M100213,eCommerce,Medium,West,Standard,23,180,40.1,7218.0,31,-15.1,1,17.5,5.6,0,0,4,1,1
M100214,eCommerce,Small,North,Standard,57,33,50.0,1650.0,43,-24.8,2,19.2,6.3,1,1,3,1,1
M100215,eCommerce,Medium,North,Standard,56,156,78.04,12174.24,36,-35.4,4,34.2,6.3,1,1,3,0,1
M100216,Retail,Small,North,Plus,47,22,57.29,1260.38,2,-30.9,2,5.9,7.8,1,1,4,0,0
M100217,Retail,Small,South,Premium,56,34,73.46,2497.64,7,-46.9,0,23.7,5.9,0,0,2,1,0
M100218,Travel,Small,West,Plus,58,54,32.33,1745.82,22,-19.6,2,4.2,6.6,0,1,7,1,0
M100219,Food & Beverage,Small,East,Standard,46,43,60.9,2618.7,31,-6.6,3,20.8,4.8,4,3,4,0,1
M100220,Food & Beverage,Small,East,Standard,36,69,60.22,4155.18,6,26.3,0,19.6,5.4,0,0,8,1,0
M100221,Food & Beverage,Medium,North,Premium,13,286,92.34,26409.24,25,4.3,3,20.3,9.5,0,2,2,1,1
M100222,Services,Medium,East,Standard,49,264,103.43,27305.52,38,8.6,0,2.4,7.1,1,0,1,1,0
M100223,Health,Medium,South,Standard,12,425,39.61,16834.25,31,31.1,1,23.9,6.7,0,1,4,1,0
M100224,Food & Beverage,Small,South,Premium,11,39,29.17,1137.63,25,-59.7,1,43.6,3.0,0,3,1,0,1
M100225,Travel,Medium,South,Standard,52,225,75.79,17052.75,15,11.6,3,7.5,10.0,1,0,4,0,0
M100226,Retail,Medium,North,Standard,7,219,19.42,4252.98,14,9.9,2,9.9,5.7,0,2,7,1,0
M100227,Services,Small,West,Standard,9,69,78.65,5426.85,57,21.1,0,5.3,5.5,1,2,8,0,1
M100228,Services,Medium,East,Plus,31,220,81.94,18026.8,10,-36.5,3,18.4,6.6,0,4,4,0,0
M100229,Retail,Small,South,Standard,35,32,37.88,1212.16,7,-9.6,0,6.7,5.8,1,0,2,0,0
M100230,Retail,Small,North,Plus,3,49,11.51,563.99,4,-17.5,3,19.1,7.2,0,1,4,0,0
M100231,Food & Beverage,Small,West,Standard,23,30,86.62,2598.6,24,-25.3,2,10.8,4.6,2,2,3,1,1
M100232,Health,Small,South,Standard,14,48,107.33,5151.84,21,53.9,2,13.1,8.8,0,1,1,1,0
M100233,Services,Small,South,Standard,18,46,103.41,4756.86,16,-9.5,0,9.6,8.6,0,1,7,0,0
